#{"t_start": 1605712595.1861753, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
15.07,271,33.671422
3.54,56,39.279119
23.74,258,64.43915
4.46,65,72.377706
3.0,51,78.762712
50.25,523,138.516808
1.94,40,143.947386
4.06,62,152.244966
1.76,38,156.926776
-8.24,38,161.426769
1.57,36,166.021097
3.53,56,173.119327
5.26,74,182.477469
3.79,59,189.268679
1.97,40,194.038785
5.05,72,203.123322
-7.54,45,208.771466
7.82,100,222.417052
1.77,38,227.012657
7.46,97,239.924973
2.54,46,245.871732
9.3,216,274.167428
65.68,687,356.676166
3.66,57,363.783682
8.32,105,377.231567
3.03,51,383.432606
15.64,181,407.363869
29.61,318,446.004487
13.09,154,465.470143
13.81,264,499.352707
22.29,248,531.648256
18.06,204,557.311497
16.75,295,595.734626
-6.68,54,602.393706
15.48,179,624.657144
8.34,106,638.055223
9.51,117,651.902693
-8.13,39,657.38379
2.03,143,675.442756
2.72,150,694.548348
8.01,102,707.643791
8.92,111,721.539775
23.7,263,754.578297
8.92,111,768.404052
9.59,118,783.843785
17.01,194,807.725252
152.86,1562,991.273143
11.26,135,1007.771748
8.42,106,1020.418327
18.11,205,1045.555841
22.16,247,1075.451888
5.75,79,1085.516623
26.14,287,1120.512995
11.08,133,1137.074067
11.18,134,1152.971765
11.72,140,1170.22228
10.79,131,1186.641851
6.16,83,1196.473292
9.18,114,1210.028575
7.64,98,1222.060659
4.14,164,1241.786711
25.09,277,1275.714707
8.07,102,1287.643639
17.42,300,1324.064098
10.62,129,1339.726749
27.06,298,1376.389181
15.81,285,1411.913272
4.57,169,1432.909788
17.87,204,1459.315964
25.77,285,1495.020302
7.1,93,1506.796476
8.74,110,1520.659541
17.54,201,1546.82675
6.11,83,1557.682495
15.71,182,1581.495615
1.71,141,1600.054371
28.11,311,1640.44557
10.79,131,1656.897263
6.44,86,1667.705791
6.3,188,1692.290245
12.91,153,1711.780747
3.51,160,1732.718704
29.61,432,1789.037453
10.24,125,1804.555059
8.58,108,1817.882104
14.05,268,1852.074636
9.89,122,1867.558945
17.32,198,1893.040605
3.28,157,1913.433052
6.22,84,1924.461931
16.19,186,1947.987668
4.12,62,1955.811107
-2.21,100,1968.328412
4.86,173,1989.824703
-1.09,111,2003.510761
17.1,196,2028.270524
30.38,333,2070.534461
16.79,192,2094.200814
-7.52,45,2099.777995
10.13,124,2115.901373
2.56,46,2121.598492
13.22,155,2140.968215
19.56,221,2168.726336
1.95,143,2186.653715
22.68,356,2232.175664
9.66,119,2247.42249
6.24,84,2258.087224
15.77,282,2294.420984
5.49,76,2304.294283
2.2,145,2322.784363
9.47,117,2338.146297
18.58,210,2365.278759
5.14,73,2374.338736
1.62,139,2392.830551
2.55,46,2398.521155
25.83,286,2436.094273
4.89,173,2458.660249
7.61,98,2471.248209
-7.63,44,2477.282537
9.22,114,2492.049252
9.95,122,2507.938149
-0.26,119,2523.086821
5.65,78,2533.619759
8.01,102,2546.458148
16.58,190,2571.006288
9.92,122,2586.81649
30.25,332,2630.818252
10.14,124,2647.22835
18.12,207,2676.069562
17.29,198,2703.073741
1.56,36,2707.663759
7.61,202,2735.475633
2.42,148,2755.43451
16.83,297,2795.846644
20.97,238,2827.431918
1.55,36,2832.305839
26.54,295,2874.225082
8.53,109,2888.943791
12.07,249,2924.014585
28.87,320,2967.855471
18.49,211,2995.788712
17.33,198,3022.432646
3.36,158,3043.149734
12.2,146,3062.542627
5.73,79,3072.547255
9.88,122,3088.249029
15.42,179,3112.15816
39.02,427,3169.897566
3.16,156,3191.146923
5.82,80,3202.242559
9.74,121,3218.967031
9.52,118,3234.67198
8.25,106,3249.619457
1.86,39,3254.303021
4.79,70,3263.544884
15.11,177,3288.546041
20.34,231,3320.365495
3.87,60,3328.40845
9.29,116,3343.818849
20.1,229,3375.882985
5.12,73,3386.081999
2.66,151,3406.89137
7.95,102,3420.724071
15.74,183,3445.526978
25.89,290,3486.525886
8.62,110,3502.214062
-7.03,51,3509.353489
0.63,130,3527.32872
15.67,289,3568.415977
-6.47,57,3576.980799
8.23,106,3591.918044
-1.49,108,3607.004418
11.75,141,3626.8467
19.99,227,3658.46157
20.4,231,3689.733993
9.19,115,3705.514952
12.56,150,3726.391861
8.97,113,3741.335452
1.0,134,3759.292349
6.68,89,3771.685904
15.12,177,3795.273035
19.48,222,3826.680338
5.81,80,3838.995177
5.32,75,3848.890577
5.3,75,3859.150587
10.16,125,3875.849633
7.93,102,3889.386543
5.41,76,3899.697655
16.4,190,3925.725825
5.88,81,3937.86766
17.2,200,3965.4547
15.71,183,3993.141087
-8.35,37,3999.275829
6.73,193,4026.436299
-8.03,40,4031.990084
5.13,73,4042.020803
8.02,103,4055.415014
29.39,325,4099.335579
8.39,107,4114.079134
23.02,364,4165.102427
7.09,93,4177.465409
7.75,100,4191.621058
-8.91,31,4196.228591
17.57,202,4223.858143
9.39,117,4239.816525
20.07,229,4271.927669
5.23,178,4296.214397
9.67,120,4312.64598
26.46,295,4352.37564
16.13,187,4377.782557
24.8,277,4415.770848
12.58,150,4436.322039
15.08,280,4475.353457
17.52,202,4503.068562
17.07,302,4543.998643
6.78,90,4555.988151
15.77,183,4581.769255
9.33,117,4597.873607
21.51,244,4632.62511
6.49,87,4644.326149
14.31,168,4667.569772
35.21,496,4738.817643
7.94,103,4753.358196
8.72,111,4769.068709
5.2,74,4779.438721
5.93,82,4790.937753
-5.52,67,4800.332752
13.33,158,4822.32333
7.82,101,4836.497157
5.97,82,4848.31686
11.99,144,4867.865756
11.85,143,4888.166157
19.84,227,4919.432861
0.09,124,4936.696879
6.81,91,4948.723008
-6.22,59,4956.609886
25.96,292,4997.957835
-3.65,86,5010.157304
8.31,107,5026.013556
21.06,239,5060.075693
18.29,211,5091.077394
10.46,129,5109.202138
13.93,165,5132.309718
9.6,120,5148.712557
19.38,223,5180.346982
11.26,137,5199.666201
7.47,98,5213.621723
7.13,94,5226.662905
21.66,246,5261.623023
16.64,194,5289.320584
16.05,187,5314.831501
16.23,190,5342.382138
5.62,79,5353.60272
6.12,84,5365.203463
8.31,107,5380.952457
1.38,34,5385.608253
1.26,33,5390.339137
6.45,88,5403.448206
20.42,235,5437.538162
7.68,100,5451.215138
34.25,487,5521.663219
8.37,107,5536.511239
3.51,161,5559.309975
1.53,141,5579.007355
7.34,96,5592.059603
20.8,237,5624.982396
25.35,387,5676.400122
2.01,144,5694.723819
7.45,97,5707.113049
27.13,301,5747.761297
2.18,146,5767.21716
2.36,44,5773.096551
8.49,108,5787.395909
16.93,195,5813.774269
24.03,269,5849.629142
34.45,379,5901.111572
18.74,215,5930.554593
16.28,188,5956.228663
24.47,378,6006.785608
1.24,136,6024.676915
-4.42,77,6034.935834
6.39,189,6060.718669
-4.79,74,6070.800812
20.04,227,6101.561797
23.68,264,6136.713864
29.09,321,6179.530796
17.36,200,6207.927202
1.7,140,6226.308804
10.68,232,6256.388424
24.39,271,6294.065909
1.28,136,6312.669001
42.94,467,6374.44292
34.66,379,6424.583059
-4.75,74,6434.133072
4.08,62,6442.713879
-8.72,33,6447.198822
13.71,265,6482.807761
15.53,180,6506.883393
-6.55,55,6514.144529
36.32,398,6567.560743
0.21,125,6584.313889
1.28,33,6588.938959
8.47,107,6603.195996
-8.5,35,6607.699388
8.69,109,6622.639522
8.02,103,6636.723434
15.59,180,6660.483031
12.3,147,6680.663142
5.72,182,6705.431917
11.27,136,6724.093002
23.76,265,6759.480867
10.64,129,6776.841525
17.22,197,6803.618288
43.33,470,6866.058932
36.58,399,6917.845788
11.48,137,6935.327802
17.07,195,6960.949222
9.57,118,6976.289536
19.5,220,7004.403294
2.01,143,7022.39834
54.9,575,7097.643617
67.96,707,7187.398331
-7.52,45,7193.578196
39.18,425,7249.437158
-4.84,73,7259.008549
34.94,382,7310.506086
17.51,200,7337.28626
23.05,257,7371.753745
9.28,116,7387.671402
30.26,440,7448.854714
15.31,178,7472.922782
5.42,76,7483.30677
5.6,78,7493.66528
4.77,69,7502.208281
9.35,116,7517.442459
8.39,107,7532.276375
22.59,253,7566.956294
7.39,96,7580.27139
12.07,145,7599.791004
2.03,41,7605.333649
15.95,185,7630.966447
17.94,205,7658.403083
14.52,170,7681.942319
4.0,164,7703.63408
17.85,205,7733.418658
10.36,127,7750.727169
38.16,406,7803.174356
22.1,249,7837.199806
2.03,144,7856.259594
6.12,83,7867.229715
16.28,188,7892.639701
20.17,229,7924.36678
8.68,110,7938.583031
-6.03,61,7947.133999
9.9,122,7964.46553
51.5,560,8041.80425
8.52,108,8056.408795
7.64,99,8069.164423
15.8,183,8093.040408
28.54,421,8151.613078
20.9,236,8182.958649
26.69,296,8222.47441
21.28,240,8253.692107
18.91,215,8281.689115
22.6,254,8315.623418
11.34,137,8334.299365
28.81,425,8392.019797
8.79,111,8407.100363
9.67,119,8423.09275
2.63,47,8429.64705
7.82,100,8442.788819
-3.95,82,8452.986421
7.88,101,8465.968487
25.79,287,8505.872466
0.48,125,8523.114351
35.91,384,8571.67149
8.82,111,8586.185402
-5.07,71,8595.907408
27.69,413,8653.201069
-6.88,52,8660.334474
30.16,333,8706.388201
9.21,115,8721.751751
2.43,45,8727.969231
18.88,215,8756.869412
3.53,56,8763.90613
1.46,35,8768.520676
6.61,88,8779.682956
8.78,110,8793.525195
9.23,114,8807.502074
20.59,231,8836.375028
-6.99,51,8843.727387
30.55,333,8887.497612
8.66,109,8901.668082
7.86,101,8915.06599
84.78,884,9027.841849
8.68,109,9042.593005
11.82,141,9061.852988
28.16,310,9103.578113
35.47,386,9155.111476
19.23,218,9184.331812
16.21,187,9210.026041
15.38,178,9234.244047
1.66,138,9252.484739
-7.34,47,9258.940001
76.01,792,9366.556233
8.92,112,9381.834491
18.14,311,9424.140068
-3.6,85,9435.859158
7.05,93,9448.525103
27.18,303,9490.861528
5.39,76,9501.257529
15.07,173,9523.109297
15.28,178,9547.590296
8.81,111,9562.765808
40.67,547,9639.362865
9.87,122,9655.673071
28.8,316,9698.531912
7.72,100,9712.52616
54.32,569,9785.491358
13.64,161,9807.107488
0.08,125,9824.482153
12.24,147,9844.902955
14.6,171,9868.218106
